,State,Annual Wine Production 2023 (Gal)↓,% of National Production 2023
0,California,609607342,80.79%
1,New York,33084702,4.38%
2,Washington,32373972,4.29%
3,Oregon,17091139,2.27%
4,Kentucky,7815921,1.04%
5,Ohio,5779222,0.77%
6,Michigan,4765922,0.63%
7,Massachusetts,3508098,0.47%
8,Texas,3281365,0.43%
9,North Carolina,2857573,0.38%
10,Virginia,2743878,0.36%
11,Indiana,2621120,0.35%
12,Florida,2441961,0.32%
13,Missouri,2204343,0.29%
14,New Jersey,2169172,0.29%
15,Wisconsin,2080629,0.28%
16,Vermont,1983983,0.26%
17,Illinois,1275610,0.17%
18,Colorado,867935,0.11%
19,Minnesota,652201,0.09%
20,Idaho,574024,0.08%
21,Georgia,516967,0.07%
22,Arizona,405776,0.05%
23,Maryland,392696,0.05%
24,Tennessee,373312,0.05%
25,Maine,326383,0.04%
26,Nebraska,313227,0.04%
27,Iowa,268802,0.04%
28,Montana,261614,0.04%
29,New Hampshire,224868,0.03%
30,Alaska,172632,0.02%
31,South Carolina,153524,0.02%
32,Arkansas,147662,0.02%
33,Connecticut,112472,0.01%
34,Kansas,102890,0.01%
35,Rhode Island,73037,0.01%
36,Oklahoma,66251,0.01%
37,Utah,61510,0.01%
38,Hawaii,38634,0.01%
39,South Dakota,35385,0.01%
40,West Virginia,33519,0%
41,Wyoming,31073,0%
42,Delaware,26869,0%
43,North Dakota,22989,0%
44,Alabama,21416,0%
45,Mississippi,17577,0%
46,District of Columbia,17567,0%
47,Nevada,1526,
48,United States,744000290,
